pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.364988008,None,,,,,0,0,0,0,,,,,0.060096098,,0.030626274,0.060096098,1.00039659,1.00039659,1.00039659,1.00039659,1.055193743,1.996857156,1.996857156,2.628014177,x,1,0.364988008,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,1,1,0,v,1,0.250974937,None,,,,,0,1,1,1,,,,,2.641029975,,2.628264996,2.641029975,3.621824921,3.621824921,3.621824921,3.621824921,3.638419987,4.621492221,4.621492221,4.880163725,v,1,0.250974937,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,2,2,0,c,1,0.251600757,None,,,,,0,2,2,2,,,,,4.889160917,,4.88052175,4.889160917,5.877799589,5.877799589,5.877799589,5.877799589,5.877799589,6.878710097,6.878710097,7.138848408,c,1,0.251600757,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,3,3,0,z,1,0.292781168,None,,,,,0,3,3,3,,,,,7.147048723,,7.139155767,7.147048723,8.128742635,8.128742635,8.128742635,8.128742635,8.144723984,9.128573571,9.128573571,9.42278234,z,1,0.292781168,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,4,0,1,x,1,0.25637871,None,,,,,1,0,4,0,,,,,9.428382663,,9.42309936,9.428382663,10.42180455,10.42180455,10.42180455,10.42180455,10.42180455,11.42177449,11.42177449,11.67978544,x,1,0.25637871,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,5,1,1,v,1,0.241533468,None,,,,,1,1,5,1,,,,,11.68806997,,11.68010212,11.68806997,12.67836,12.67836,12.67836,12.67836,12.67836,13.67884371,13.67884371,13.92266797,v,1,0.241533468,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,6,2,1,c,1,0.224459471,None,,,,,1,2,6,2,,,,,13.92832543,,13.92297834,13.92832543,14.92172337,14.92172337,14.92172337,14.92172337,14.92172337,15.92152551,15.92152551,16.15558234,c,1,0.224459471,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,7,3,1,z,1,0.257238301,None,,,,,1,3,7,3,,,,,16.16382682,,16.15588475,16.16382682,17.14567321,17.14567321,17.14567321,17.14567321,17.16138117,18.14590407,18.14590407,18.40582206,z,1,0.257238301,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,8,0,2,x,1,0.356923097,None,,,,,2,0,8,0,,,,,18.41348802,,18.40612922,18.41348802,19.39565041,19.39565041,19.39565041,19.39565041,19.4116972,20.4049102,20.4049102,20.77212208,x,1,0.356923097,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,9,1,2,v,1,0.227779342,None,,,,,2,1,9,1,,,,,20.78068374,,20.77242053,20.78068374,21.76243197,21.76243197,21.76243197,21.76243197,21.77787574,22.76282685,22.76282685,22.99642212,v,1,0.227779342,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,10,2,2,c,1,0.273649868,None,,,,,2,2,10,2,,,,,23.00437556,,22.9967339,23.00437556,23.99528041,23.99528041,23.99528041,23.99528041,23.99528041,24.99684585,24.99684585,25.27247233,c,1,0.273649868,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,11,3,2,z,1,0.278123937,None,,,,,2,3,11,3,,,,,25.27807154,,25.27277914,25.27807154,26.2713905,26.2713905,26.2713905,26.2713905,26.2713905,27.27139947,27.27139947,27.55545507,z,1,0.278123937,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,12,0,3,x,1,0.314631085,None,,,,,3,0,12,0,,,,,27.56358762,,27.5557572,27.56358762,28.54514826,28.54514826,28.54514826,28.54514826,28.56129114,29.54573001,29.54573001,29.86286187,x,1,0.314631085,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,13,1,3,v,1,0.267456791,None,,,,,3,1,13,1,,,,,29.87123157,,29.86317276,29.87123157,30.86200456,30.86200456,30.86200456,30.86200456,30.86200456,31.85474471,31.85474471,32.12955722,v,1,0.267456791,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,14,2,3,c,1,0.260985765,None,,,,,3,2,14,2,,,,,32.13770084,,32.12990456,32.13770084,33.12795138,33.12795138,33.12795138,33.12795138,33.12795138,34.12809603,34.12809603,34.39618361,c,1,0.260985765,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,15,3,3,z,1,0.263485527,None,,,,,3,3,15,3,,,,,34.40419577,,34.39649382,34.40419577,35.39512523,35.39512523,35.39512523,35.39512523,35.39512523,36.39518675,36.39518675,36.66279424,z,1,0.263485527,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,16,0,4,x,1,0.272405622,None,,,,,4,0,16,0,,,,,36.67080642,,36.66311119,36.67080642,37.66139384,37.66139384,37.66139384,37.66139384,37.66139384,38.66064441,38.66064441,38.93859162,x,1,0.272405622,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,17,1,4,v,1,0.256076638,None,,,,,4,1,17,1,,,,,38.94686234,,38.93889549,38.94686234,39.93752976,39.93752976,39.93752976,39.93752976,39.94338671,40.92809685,40.92809685,41.18931567,v,1,0.256076638,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,18,2,4,c,1,0.203682613,None,,,,,4,2,18,2,,,,,41.19705876,,41.18962096,41.19705876,42.1879913,42.1879913,42.1879913,42.1879913,42.19458677,43.18800164,43.18800164,43.39587462,c,1,0.203682613,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,19,3,4,z,1,0.281719368,None,,,,,4,3,19,3,,,,,43.4038766,,43.39618501,43.4038766,44.39455639,44.39455639,44.39455639,44.39455639,44.39455639,45.39491972,45.39491972,45.67934941,z,1,0.281719368,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,20,0,5,x,1,0.425829333,None,,,,,5,0,20,0,,,,,45.6878491,,45.67967264,45.6878491,46.6786596,46.6786596,46.6786596,46.6786596,46.6786596,47.67869298,47.67869298,48.10578204,x,1,0.425829333,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,21,1,5,v,1,0.311804899,None,,,,,5,1,21,1,,,,,48.11224093,,48.10609454,48.11224093,49.10466145,49.10466145,49.10466145,49.10466145,49.11130092,50.10460488,50.10460488,50.42191086,v,1,0.311804899,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,22,2,5,c,1,0.259487726,None,,,,,5,2,22,2,,,,,50.42965702,,50.42220867,50.42965702,51.41178278,51.41178278,51.41178278,51.41178278,51.42784456,52.41183556,52.41183556,52.67930101,c,1,0.259487726,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,23,3,5,z,1,0.256182777,None,,,,,5,3,23,3,,,,,52.68684728,,52.67960511,52.68684728,53.67793798,53.67793798,53.67793798,53.67793798,53.67793798,54.67897035,54.67897035,54.93899579,z,1,0.256182777,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,24,0,6,x,1,0.278375103,None,,,,,6,0,24,0,,,,,54.94682626,,54.93930135,54.94682626,55.93779535,55.93779535,55.93779535,55.93779535,55.94471206,56.93776112,56.93776112,57.22172775,x,1,0.278375103,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,25,1,6,v,1,0.267045702,None,,,,,6,1,25,1,,,,,57.2299903,,57.22203426,57.2299903,58.21185987,58.21185987,58.21185987,58.21185987,58.22756942,59.21195573,59.21195573,59.48824725,v,1,0.267045702,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,26,2,6,c,1,0.284911237,None,,,,,6,2,26,2,,,,,59.49644452,,59.48854601,59.49644452,60.47831459,60.47831459,60.47831459,60.47831459,60.4942247,61.4780206,61.4780206,61.77162092,c,1,0.284911237,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,27,3,6,z,1,0.263411717,None,,,,,6,3,27,3,,,,,61.77985736,,61.77194486,61.77985736,62.76164344,62.76164344,62.76164344,62.76164344,62.77744495,63.76142993,63.76142993,64.02895736,z,1,0.263411717,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,28,0,7,x,1,0.384058833,None,,,,,7,0,28,0,,,,,64.03713823,,64.02926884,64.03713823,65.02781405,65.02781405,65.02781405,65.02781405,65.02781405,66.0209843,66.0209843,66.4122003,x,1,0.384058833,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,29,1,7,v,1,0.469413493,None,,,,,7,1,29,1,,,,,66.42014187,,66.41251069,66.42014187,67.41140032,67.41140032,67.41140032,67.41140032,67.41140032,68.41119071,68.41119071,68.8884633,v,1,0.469413493,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,30,2,7,c,1,0.283749993,None,,,,,7,2,30,2,,,,,68.89669876,,68.88877949,68.89669876,69.87810857,69.87810857,69.87810857,69.87810857,69.8941073,70.87784456,70.87784456,71.17144605,c,1,0.283749993,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,31,3,7,z,1,0.273426097,None,,,,,7,3,31,3,,,,,71.17968336,,71.17176052,71.17968336,72.16216899,72.16216899,72.16216899,72.16216899,72.17079775,73.1620232,73.1620232,73.43853232,z,1,0.273426097,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,32,0,8,x,1,0.258908956,None,,,,,8,0,32,0,,,,,73.44616031,,73.43883964,73.44616031,74.43745896,74.43745896,74.43745896,74.43745896,74.44391263,75.43749159,75.43749159,75.70492825,x,1,0.258908956,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,33,1,8,v,1,0.255600446,None,,,,,8,1,33,1,,,,,75.71333199,,75.70526948,75.71333199,76.69449707,76.69449707,76.69449707,76.69449707,76.71062231,77.69467672,77.69467672,77.95505862,v,1,0.255600446,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,34,2,8,c,1,0.259813537,None,,,,,8,2,34,2,,,,,77.96343874,,77.95537766,77.96343874,78.9450434,78.9450434,78.9450434,78.9450434,78.96083298,79.94560683,79.94560683,80.21253815,c,1,0.259813537,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,35,3,8,z,1,0.295033149,None,,,,,8,3,35,3,,,,,80.22063882,,80.21284992,80.22063882,81.21145571,81.21145571,81.21145571,81.21145571,81.21145571,82.21205725,82.21205725,82.51304514,z,1,0.295033149,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,36,0,9,x,1,0.289859664,None,,,,,9,0,36,0,,,,,82.52134786,,82.51335583,82.52134786,83.51159628,83.51159628,83.51159628,83.51159628,83.51159628,84.51208394,84.51208394,84.80502118,x,1,0.289859664,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
150,v,37,1,9,v,1,0.30443838,None,,,,,9,1,37,1,,,,,84.81284223,,84.80533521,84.81284223,85.79483821,85.79483821,85.79483821,85.79483821,85.8109121,86.79454462,86.79454462,87.10478295,v,1,0.30443838,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
50,c,38,2,9,c,1,0.351313737,None,,,,,9,2,38,2,,,,,87.11327003,,87.10508928,87.11327003,88.09491719,88.09491719,88.09491719,88.09491719,88.11092807,89.09516849,89.09516849,89.45483002,c,1,0.351313737,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-150,z,39,3,9,z,1,0.343033542,None,,,,,9,3,39,3,,,,,89.46261821,,89.455129,89.46261821,90.44436132,90.44436132,90.44436132,90.44436132,90.46069754,91.44478369,91.44478369,91.79542216,z,1,0.343033542,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
-50,x,40,0,10,x,1,0.464976857,None,,,,,10,0,40,0,,,,,91.80360379,,91.79573516,91.80360379,92.7946958,92.7946958,92.7946958,92.7946958,92.7946958,93.79453299,93.79453299,94.26214362,x,1,0.464976857,None,,,,,,,,,,,,,,,1,1,2025-10-02_15h26.15.473,Motor Sequence Learning,,2025.1.1,72.19069844,2025-10-02 15h26.27.996401 +0530
