word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.010904533999564592,0.032980578998831334,1.0059543469978962,,,,,,,,,,,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
BLUE,red,I,r,0,0,0,r,1,0.8572684650025622,None,0,0,0,2,1.0369650409993483,,,,,1.02344326399907,1.0369650409993483,1.4980309229977138,1.4980309229977138,1.4980309229977138,2.6371772849997797,r,1,0.8572684650025622,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.7092206380002608,None,0,1,1,3,2.65781806099767,,,,,2.637755389998347,2.65781806099767,3.1296539989998564,3.1296539989998564,3.1296539989998564,3.8461029850004707,b,1,0.7092206380002608,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
RED,blue,I,b,2,2,0,b,1,0.5070233279984677,None,0,2,2,1,3.8596695129999716,,,,,3.850405941000645,3.8596695129999716,4.345828067998809,4.345828067998809,4.345828067998809,4.856338251000125,b,1,0.5070233279984677,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
RED,red,C,r,3,3,0,r,1,0.3569173129981209,None,0,3,3,0,4.86878250099835,,,,,4.8569012169973576,4.86878250099835,5.355799026998284,5.355799026998284,5.355799026998284,5.72257759599961,r,1,0.3569173129981209,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
RED,red,C,r,4,0,1,r,1,0.40638598600344267,None,1,0,4,0,5.730914479998319,,,,,5.723131527000078,5.730914479998319,6.213346051998087,6.213346051998087,6.213346051998087,6.623437769998418,r,1,0.40638598600344267,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
BLUE,red,I,r,5,1,1,r,1,0.487374684002134,None,1,1,5,2,6.633672559997649,,,,,6.62577333399895,6.633672559997649,7.122417684997345,7.122417684997345,7.122417684997345,7.613489011997444,r,1,0.487374684002134,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
RED,blue,I,b,6,2,1,b,1,0.38773919099912746,None,1,2,6,1,7.625260955999693,,,,,7.615768750998541,7.625260955999693,8.113855920997594,8.113855920997594,8.113855920997594,8.50657810499979,b,1,0.38773919099912746,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.3819025890006742,None,1,3,7,3,8.517607653997402,,,,,8.50890517699736,8.517607653997402,9.00559692099705,9.00559692099705,9.00559692099705,9.389838707000308,b,1,0.3819025890006742,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
BLUE,red,I,r,8,0,2,r,1,0.431907381000201,None,2,0,8,2,9.399219817998528,,,,,9.390389074997074,9.399219817998528,9.888577886998974,9.888577886998974,9.888577886998974,10.322946663000039,r,1,0.431907381000201,None,,,,,01,001,2025-08-24_18h38.23.404,stroop,,2025.1.1,83.88688400642593,2025-08-24 18h38.32.897065 +0530,
