prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,target_text.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007167042000219226,0.013201084002503194,0.013201084002503194,13.84054450000258,space,13.679075791995274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,13.840571333996195,13.849535291999928,14.373190250000334,14.334352249999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
heart,mountain,unrelated,word,m,0,0,0,m,1,0.7932881239976268,None,0,0,0,36,14.373190250000334,,,,,,,,,,,,,14.367171625002811,14.373190250000334,14.493548792001093,14.493624959002773,14.500695083996106,14.543570374997216,14.547530916999676,14.554022124997573,14.554022124997573,15.352941459001158,m,1,0.7932881239976268,None,m,True,,,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
king,markerv,unrelated,nonword,z,1,1,0,z,1,1.6614181249969988,None,0,1,1,88,15.36362804199598,,,,,,,,,,,,,15.353357916996174,15.36362804199598,15.501726417001919,15.501782041996194,15.510228874998575,15.543835459000547,15.549971041997196,15.559763917000964,15.559763917000964,17.229843583998445,z,1,1.6614181249969988,None,z,True,15.510228874998575,15.559763917000964,17.050270792002266,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
doctor,nursep,related,nonword,z,2,2,0,z,1,1.111311915999977,None,0,2,2,50,17.2406476249962,,,,,,,,,,,,,17.230407999995805,17.2406476249962,17.37798445900262,17.378070209000725,17.384971999999834,17.41771712499758,17.421905584000342,17.428874541998084,17.428874541998084,18.545842792002077,z,1,1.111311915999977,None,z,True,17.384971999999834,17.428874541998084,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
fire,blanket,unrelated,word,m,3,3,0,m,1,1.0996989159975783,None,0,3,3,39,18.564061375000165,,,,,,,,,,,,,18.54636333399685,18.564061375000165,18.700591499997245,18.700660249996872,18.710484875002294,18.744452041995828,18.748796667001443,18.755449167001643,18.755449167001643,19.862338833998365,m,1,1.0996989159975783,None,m,True,,18.755449167001643,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
rain,engine,unrelated,word,m,4,4,0,m,1,0.8924817080041976,None,0,4,4,42,19.8725373749985,,,,,,,,,,,,,19.86278358400159,19.8725373749985,20.01134808400093,20.01143166700058,20.018008416998782,20.051102999997966,20.055313999997452,20.062580625002738,20.062580625002738,20.962664874998154,m,1,0.8924817080041976,None,m,True,20.018008416998782,20.062580625002738,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
book,pageq,related,nonword,z,5,5,0,z,1,1.007574666000437,None,0,5,5,58,20.97322895900288,,,,,,,,,,,,,20.963170834002085,20.97322895900288,21.11088262499834,21.11095412499708,21.11753624999983,21.15009916699637,21.153415542001312,21.160527125000954,21.160527125000954,22.178180916998826,z,1,1.007574666000437,None,z,True,21.11753624999983,21.160527125000954,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
teacher,banana,unrelated,word,m,6,6,0,m,1,0.7317749170033494,None,0,6,6,29,22.188631791999796,,,,,,,,,,,,,22.178586458998325,22.188631791999796,22.327758999999787,22.3278152089988,22.33403287499823,22.36734762499691,22.371586374996696,22.393266416998813,22.393266416998813,23.1290877499996,m,1,0.7317749170033494,None,m,True,22.33403287499823,22.393266416998813,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
sun,glass,unrelated,word,m,7,7,0,m,1,0.8682547910066205,None,0,7,7,27,23.139717874997586,,,,,,,,,,,,,23.129588709001837,23.139717874997586,23.277909709002415,23.277990624999802,23.28450475000136,23.317632708996825,23.321835374998045,23.328751916997135,23.328751916997135,24.202344999997877,m,1,0.8682547910066205,None,m,True,23.28450475000136,23.328751916997135,,,,,,,,,,,,,02,001,2025-11-17_09h58.11.264,solo project,,2025.1.1,121.33351502388682,2025-11-17 09h58.18.142547 +0530,
