prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007489625000744127,0.013243875000625849,0.013243875000625849,15.956470458004333,space,15.793492874996446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,15.956493124998815,15.964487875004124,16.496372250003333,16.456833208001626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
tree,leafw,related,nonword,z,0,0,0,z,1,5.83711525000399,None,0,0,0,70,16.496372250003333,,,,,,,,,,,,,16.490264416999707,16.496372250003333,16.60671312500199,16.6067957080013,16.61404904200026,16.65692420800042,16.66098658300325,16.66835274999903,16.66835274999903,18.163105167004687,22.508793749999313,z,1,5.83711525000399,None,z,True,,,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
fire,blanketi,unrelated,nonword,z,1,1,0,z,1,1.0904461250029271,None,0,1,1,89,22.51957433300413,,,,,,,,,,,,,22.509303167003964,22.51957433300413,22.656755000003614,22.656845458004682,22.663447582999652,22.70693058300094,22.71129295800347,22.71798608300014,22.71798608300014,,23.81463837499905,z,1,1.0904461250029271,None,z,True,22.663447582999652,22.71798608300014,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
bread,musicq,unrelated,nonword,z,2,2,0,z,1,0.7785873749962775,None,0,2,2,78,23.832410542003345,,,,,,,,,,,,,23.815099291998195,23.832410542003345,23.965268207997724,23.96530595800141,23.971828749999986,24.006649333001405,24.01129016699997,24.017826583003625,24.017826583003625,,24.809103125000547,z,1,0.7785873749962775,None,z,True,,24.017826583003625,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
fire,heatt,related,nonword,z,3,3,0,z,1,0.7478846669982886,None,0,3,3,64,24.81950112499908,,,,,,,,,,,,,24.80956700000388,24.81950112499908,24.956518375001906,24.95660387499811,24.963273708002816,24.996786750001775,25.000304624998535,25.022509374997753,25.022509374997753,,25.775268999997934,z,1,0.7478846669982886,None,z,True,24.963273708002816,25.022509374997753,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
bird,cup,unrelated,word,m,4,4,0,m,1,0.5817043329952867,None,0,4,4,35,25.785965542003396,,,,,,,,,,,,,25.775732624999364,25.785965542003396,25.923388750001322,25.923471542002517,25.93023104200256,25.963581832998898,25.966992499998014,25.983667291999154,25.983667291999154,,26.574952041999495,m,1,0.5817043329952867,None,m,True,25.93023104200256,25.983667291999154,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
cat,dogt,related,nonword,z,5,5,0,z,1,0.7040739169970038,None,0,5,5,51,26.5849069169999,,,,,,,,,,,,,26.57533649999823,26.5849069169999,26.72337433299981,26.723455500003183,26.7299963330006,26.763559999999416,26.767011916999763,26.789235750002263,26.789235750002263,,27.498691708002298,z,1,0.7040739169970038,None,z,True,26.7299963330006,26.789235750002263,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
ball,mirror,unrelated,word,m,6,6,0,m,1,0.5588793339993572,None,0,6,6,48,27.509230916999513,,,,,,,,,,,,,27.499184083004366,27.509230916999513,27.64700004200131,27.647068208003475,27.656004666998342,27.690152374998434,27.69445524999901,27.70147200000065,27.70147200000065,,28.265325542000937,m,1,0.5588793339993572,None,m,True,27.656004666998342,27.70147200000065,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
bird,wingl,related,nonword,z,7,7,0,z,1,1.052179457998136,None,0,7,7,60,28.275665917004517,,,,,,,,,,,,,28.26579520800442,28.275665917004517,28.415622250002343,28.415678582998225,28.42242237499886,28.45674775000225,28.461627167002007,28.46816241700435,28.46816241700435,,29.525144749997708,z,1,1.052179457998136,None,z,True,,28.46816241700435,,,,,,,,,,,,04,001,2025-11-17_16h26.13.514,solo project,,2025.1.1,121.24022690594929,2025-11-17 16h26.27.151474 +0530,
