prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap1.stopped,gap.stopped,target_response.started,target_text.started,key_resp.started,target_text.stopped,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007266624998010229,0.014312125000287779,0.014312125000287779,9.88521758299612,space,9.723986290999164,None,,,,,,,,,,,,,,,,,,,,,,,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,9.885240750001685,9.893127791998268,10.417417749995366,10.379051416995935,,,,,,,,,,,,,,,,,,,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
flower,petaln,related,nonword,z,0,0,0,z,1,2.1536027920010383,None,0,0,0,74,10.417417749995366,,,,,,,,,,,,,10.411149916995782,10.417417749995366,10.535899082999094,10.535968958000012,10.545574124997074,10.59154608300014,10.579751166995266,10.58376049999788,10.59154608300014,10.59154608300014,12.085888875000819,12.747677041996212,z,1,2.1536027920010383,None,z,True,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
car,windoww,unrelated,nonword,z,1,1,0,m,0,1.2047464579954976,None,0,1,1,81,12.758241042000009,,,,,,,,,,,,,12.748072458001843,12.758241042000009,12.895451083000808,12.895523375002085,12.903259792001336,12.9473822919972,12.93650095799967,12.940317916996719,12.9473822919972,12.9473822919972,,14.154245624995383,m,0,1.2047464579954976,None,m,False,12.903259792001336,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
flower,bottle,unrelated,word,m,2,2,0,z,0,1.22923237500072,None,0,2,2,49,14.1648499169969,,,,,,,,,,,,,14.154623999995238,14.1648499169969,14.30373137499555,14.3037852080015,14.311642332999327,14.356891082999937,14.346021833000123,14.350166042000637,14.356891082999937,14.356891082999937,,15.598487582996313,z,0,1.22923237500072,None,z,False,14.311642332999327,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
fire,heat,related,word,m,3,3,0,m,1,1.6929955839950708,None,0,3,3,14,15.60911195800145,,,,,,,,,,,,,15.598891583002114,15.60911195800145,15.74602458300069,15.746108749997802,15.752324291999685,15.797130166996794,15.786497499997495,15.789773249998689,15.797130166996794,15.797130166996794,17.295426083001075,17.497575291999965,m,1,1.6929955839950708,None,m,True,15.752324291999685,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
bread,musicq,unrelated,nonword,z,4,4,0,z,1,0.7572142089993577,None,0,4,4,78,17.5081720829985,,,,,,,,,,,,,17.498032832998433,17.5081720829985,17.64557141700061,17.64565766699525,17.652234332999797,17.711755874996015,17.685827832996438,17.689451124999323,17.711755874996015,17.711755874996015,,18.471531457995297,z,1,0.7572142089993577,None,z,True,17.652234332999797,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
ball,mirror,unrelated,word,m,5,5,0,m,1,0.5626248749977094,None,0,5,5,48,18.481314999997267,,,,,,,,,,,,,18.471909166997648,18.481314999997267,18.61971241699939,18.61976420800056,18.628402541995456,18.67343958299898,18.662711791999754,18.666903375000402,18.67343958299898,18.67343958299898,,19.247008582999115,m,1,0.5626248749977094,None,m,True,18.628402541995456,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
book,hammerr,unrelated,nonword,z,6,6,0,m,0,1.0864080840037786,None,0,6,6,83,19.25753129200166,,,,,,,,,,,,,19.247386832998018,19.25753129200166,19.39583649999986,19.39590304200101,19.402308249998896,19.445623082996462,19.435215833000257,19.43864224999561,19.445623082996462,19.445623082996462,,20.537680707995605,m,0,1.0864080840037786,None,m,False,19.402308249998896,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
cat,dogt,related,nonword,z,7,7,0,z,1,1.115843750005297,None,0,7,7,51,20.55665845800104,,,,,,,,,,,,,20.538082541999756,20.55665845800104,20.6955235419955,20.695641667000018,20.702213666998432,20.747126082998875,20.736270707995573,20.73994366700208,20.747126082998875,20.747126082998875,,21.8698927919977,z,1,1.115843750005297,None,z,True,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
teacher,banana,unrelated,word,m,8,8,0,m,1,0.87564654200105,None,0,8,8,29,21.88056633299857,,,,,,,,,,,,,21.870172541996,21.88056633299857,22.02134770799603,22.02141549999942,22.027947417001997,22.073324083001353,22.062368582999625,22.066772082995158,22.073324083001353,22.073324083001353,,22.95470408300025,m,1,0.87564654200105,None,m,True,,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
pen,shoe,unrelated,word,m,9,9,0,z,0,0.6543305410014,None,0,9,9,43,22.96460533299978,,,,,,,,,,,,,22.95509420799499,22.96460533299978,23.103086625000287,23.103127582995512,23.112231291997887,23.15658799999801,23.146173749999434,23.149565749998146,23.15658799999801,23.15658799999801,,23.81397854199895,z,0,0.6543305410014,None,z,False,23.112231291997887,06,001,2025-11-18_10h26.25.084,solo project,,2025.1.1,121.13350629946596,2025-11-18 10h26.35.773053 +0530,
