prime,target,relation,target_type,correct_key,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,instr_text.started,instr_key.started,trial.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fixation1.started,fixation1.stopped,fixation.stopped,prime.started,prime_text.started,prime.stopped,gap.started,gap1.started,gap.stopped,target_response.started,target_text.started,key_resp.started,target_response.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,response,correct,prime_text.stopped,gap1.stopped,iti.started,text.started,text.stopped,iti.stopped,end.started,end_text.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.00730229100008728,0.01320783299888717,0.01320783299888717,4.430319874998531,space,4.26906649999728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,4.430342874999042,4.437539666003431,4.960346833002404,4.922913250004058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
shirt,river,unrelated,word,m,0,0,0,m,1,0.630002792000596,None,0,0,0,41,4.960346833002404,,,,,,,,,,,,,4.953990791000251,4.960346833002404,5.089451416002703,5.089571666001575,5.097414541000035,5.139590165999834,5.145694083003036,5.153198125000927,5.153198125000927,5.791595957998652,m,1,0.630002792000596,None,m,True,,,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
bird,wing,related,word,m,1,1,0,m,1,0.509417500004929,None,0,1,1,10,5.800527915998828,,,,,,,,,,,,,5.791993291000836,5.800527915998828,5.942049583005428,5.942133583004761,5.949671375004982,5.989986375003355,5.9941078330011806,6.000754458000301,6.000754458000301,6.515603166000801,m,1,0.509417500004929,None,m,True,5.949671375004982,6.000754458000301,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
fire,heatt,related,nonword,z,2,2,0,z,1,0.7769298749990412,None,0,2,2,64,6.533023957999831,,,,,,,,,,,,,6.516166790999705,6.533023957999831,6.6727302910003345,6.672804250003537,6.679163458000403,6.713170499999251,6.717219500002102,6.724267791003513,6.724267791003513,7.507754582999041,z,1,0.7769298749990412,None,z,True,,6.724267791003513,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
heart,mountainp,unrelated,nonword,z,3,3,0,z,1,0.5945084579943796,None,0,3,3,86,7.518096833002346,,,,,,,,,,,,,7.508182000005036,7.518096833002346,7.656303583004046,7.656378208004753,7.662846958002774,7.696394875005353,7.70068329100468,7.707638708001468,7.707638708001468,8.30807187499886,z,1,0.5945084579943796,None,z,True,7.662846958002774,7.707638708001468,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
phone,callz,related,nonword,z,4,4,0,z,1,0.7160234579932876,None,0,4,4,57,8.316294083000685,,,,,,,,,,,,,8.30861283300328,8.316294083000685,8.456113500003994,8.456181916000787,8.462683375000779,8.496481540998502,8.500083500002802,8.522145916002046,8.522145916002046,9.241042790999927,z,1,0.7160234579932876,None,z,True,8.462683375000779,8.522145916002046,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
flower,petal,related,word,m,5,5,0,m,1,0.4562042489997111,None,0,5,5,24,9.251183125001262,,,,,,,,,,,,,9.241449125001964,9.251183125001262,9.389751041002455,9.389815291004197,9.396393957998953,9.429567166000197,9.433515625001746,9.440893166000023,9.440893166000023,9.90812087499944,m,1,0.4562042489997111,None,m,True,9.396393957998953,9.440893166000023,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
rain,cloud,related,word,m,6,6,0,m,1,0.4102293739997549,None,0,6,6,17,9.918644124998536,,,,,,,,,,,,,9.90857216600125,9.918644124998536,10.056548500004283,10.05662137499894,10.0631782499986,10.095867916003044,10.099395290999382,10.106820541004709,10.106820541004709,10.524962208000943,m,1,0.4102293739997549,None,m,True,10.0631782499986,10.106820541004709,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
mother,child,related,word,m,7,7,0,m,1,0.6192792500005453,None,0,7,7,5,10.535561333002988,,,,,,,,,,,,,10.525511250001728,10.535561333002988,10.673017458000686,10.673071625002194,10.679161291001947,10.713004083001579,10.71655533300509,10.738821582999662,10.738821582999662,11.363938041002257,m,1,0.6192792500005453,None,m,True,10.679161291001947,10.738821582999662,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
road,street,related,word,m,8,8,0,m,1,0.4332170409979881,None,0,8,8,19,11.375053125004342,,,,,,,,,,,,,11.364351666001312,11.375053125004342,11.512475791001634,11.512539000003017,11.522483958004159,11.556585833001009,11.56106975000148,11.56794258300215,11.56794258300215,12.008037750005315,m,1,0.4332170409979881,None,m,True,11.522483958004159,11.56794258300215,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
road,streetq,related,nonword,z,9,9,0,z,1,0.45718249999481486,None,0,9,9,69,12.018560583004728,,,,,,,,,,,,,12.008553750005376,12.018560583004728,12.15621579100116,12.156281875002605,12.162586165999528,12.196325416000036,12.200886582999374,12.207908500000485,12.207908500000485,12.674946125000133,z,1,0.45718249999481486,None,z,True,12.162586165999528,12.207908500000485,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
heart,beatu,related,nonword,z,10,10,0,z,1,0.5724304999966989,None,0,10,10,61,12.6833528749994,,,,,,,,,,,,,12.675354875005723,12.6833528749994,12.825087625002197,12.825180915999226,12.83290308299911,12.872841166004946,12.877052083000308,12.883628875002614,12.883628875002614,13.464837958003045,z,1,0.5724304999966989,None,z,True,12.83290308299911,12.883628875002614,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
ball,mirrord,unrelated,nonword,z,11,11,0,z,1,0.5822653330033063,None,0,11,11,98,13.47507383300399,,,,,,,,,,,,,13.465250041001127,13.47507383300399,13.612385749998793,13.612438291005674,13.62258520800242,13.656365125003504,13.660643875002279,13.66676470800303,13.66676470800303,14.25846512499993,z,1,0.5822653330033063,None,z,True,13.62258520800242,13.66676470800303,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
sun,lighta,related,nonword,z,12,12,0,z,1,0.5429589160048636,None,0,12,12,52,14.26878495800338,,,,,,,,,,,,,14.25889350000216,14.26878495800338,14.406226375002007,14.406289791004383,14.41281633300241,14.446384499999112,14.450705957999162,14.457726458000252,14.457726458000252,15.007801541003573,z,1,0.5429589160048636,None,z,True,14.41281633300241,14.457726458000252,,,,,,,,,,,,08,001,2025-11-18_17h55.20.284,solo project,,2025.1.1,122.88257955244102,2025-11-18 17h55.26.169838 +0530,
